instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_category,windspeed_category,season_weather
91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,Dingin,Rendah,1_1
92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,Dingin,Rendah,1_1
93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,Dingin,Rendah,1_1
94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,Dingin,Rendah,1_1
95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,Dingin,Rendah,1_1
96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,Dingin,Sedang,1_1
97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,Dingin,Rendah,1_1
98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,Dingin,Sedang,1_1
99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,Dingin,Rendah,1_1
100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,Dingin,Sedang,1_1
101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,Dingin,Sedang,1_1
102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,Dingin,Sedang,1_1
103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,Dingin,Sedang,1_1
104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,Dingin,Sedang,1_1
105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,Dingin,Sedang,1_1
106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,Dingin,Rendah,1_1
107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,Dingin,Rendah,1_1
108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,Dingin,Rendah,1_1
109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,Dingin,Rendah,1_1
110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,Dingin,Rendah,1_1
111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,Dingin,Rendah,1_1
112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,Dingin,Rendah,1_1
113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,Dingin,Rendah,1_1
114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,Dingin,Rendah,1_1
115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,Dingin,Rendah,1_1
116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,Dingin,Rendah,1_1
117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,Dingin,Rendah,1_1
118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,Dingin,Rendah,1_1
119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,Dingin,Rendah,1_2
120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,Dingin,Rendah,1_2
121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,Dingin,Rendah,1_2
122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,Dingin,Rendah,1_2
123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,Dingin,Rendah,1_1
124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,Dingin,Rendah,1_2
125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,Dingin,Rendah,1_1
126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,Dingin,Rendah,1_1
127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,Dingin,Rendah,1_1
128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,Dingin,Rendah,1_1
129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,Dingin,Rendah,1_1
130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,Dingin,Rendah,1_1
131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,Dingin,Rendah,1_1
132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,Dingin,Rendah,1_1
133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,Dingin,Rendah,1_1
134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,Dingin,Rendah,1_1
135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,Dingin,Rendah,1_1
136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,Dingin,Sedang,1_2
137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,Dingin,Sedang,1_2
138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,Dingin,Rendah,1_2
139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,Dingin,Rendah,1_2
140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,Dingin,Sedang,1_2
141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,Dingin,Sedang,1_2
142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,Dingin,Rendah,1_2
143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,Dingin,Rendah,1_3
144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,Dingin,Rendah,1_2
145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,Dingin,Rendah,1_1
146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,Dingin,Sedang,1_1
147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,Dingin,Sedang,1_1
148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,Dingin,Sedang,1_1
149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,Dingin,Sedang,1_2
150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,Dingin,Sedang,1_2
151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,Dingin,Sedang,1_2
152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,Dingin,Sedang,1_2
153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,Dingin,Rendah,1_2
154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,Dingin,Rendah,1_2
155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,Dingin,Rendah,1_2
156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,Dingin,Rendah,1_1
157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,Dingin,Rendah,1_1
158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,Dingin,Rendah,1_1
159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,Dingin,Rendah,1_1
160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,Dingin,Rendah,1_2
161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,Dingin,Rendah,1_2
162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,Dingin,Rendah,1_2
163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,Dingin,Rendah,1_2
164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,Dingin,Rendah,1_2
165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,Dingin,Rendah,1_3
166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,Dingin,Rendah,1_3
167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,Dingin,Rendah,1_2
168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,Dingin,Rendah,1_2
169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,Dingin,Rendah,1_2
170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,Dingin,Rendah,1_3
171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,Dingin,Rendah,1_3
172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,Dingin,Rendah,1_2
173,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,Dingin,Sedang,1_2
174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,Dingin,Sedang,1_2
175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,Dingin,Sedang,1_1
176,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,Dingin,Sedang,1_1
177,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,Dingin,Sedang,1_1
178,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,Dingin,Sedang,1_1
179,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,Dingin,Tinggi,1_1
180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,Dingin,Sedang,1_1
181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,Dingin,Sedang,1_1
182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,Dingin,Sedang,1_1
183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,Dingin,Sedang,1_1
184,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,Dingin,Sedang,1_1
185,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,Dingin,Sedang,1_1
186,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,Dingin,Sedang,1_1
187,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,Dingin,Sedang,1_1
188,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,Dingin,Sedang,1_1
189,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,Dingin,Sedang,1_1
190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Dingin,Rendah,1_1
191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,Dingin,Rendah,1_1
192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,Dingin,Sedang,1_1
193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,Dingin,Rendah,1_1
194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,Dingin,Sedang,1_1
195,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,Dingin,Tinggi,1_1
196,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,Dingin,Sedang,1_1
197,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,Dingin,Tinggi,1_1
198,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,Dingin,Sedang,1_1
199,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,Dingin,Sedang,1_1
200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,Dingin,Sedang,1_1
201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,Dingin,Sedang,1_1
202,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,Dingin,Sedang,1_1
203,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,Dingin,Sedang,1_1
204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,Dingin,Sedang,1_1
205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,Dingin,Sedang,1_1
206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,Dingin,Sedang,1_1
207,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,Dingin,Sedang,1_1
208,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,Dingin,Sedang,1_1
209,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,Dingin,Rendah,1_1
210,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,Dingin,Sedang,1_1
211,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,Dingin,Sedang,1_1
212,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,Dingin,Sedang,1_1
213,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,Dingin,Sedang,1_1
214,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,Dingin,Rendah,1_1
215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,Dingin,Sedang,1_1
216,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,Dingin,Sedang,1_1
217,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,Dingin,Sedang,1_1
218,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,Dingin,Sedang,1_2
219,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,Dingin,Sedang,1_2
220,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,Dingin,Sedang,1_2
221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,Dingin,Sedang,1_2
222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,Dingin,Sedang,1_2
223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,Dingin,Sedang,1_2
224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,Dingin,Sedang,1_2
225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,Dingin,Sedang,1_2
226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,Dingin,Rendah,1_1
227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,Dingin,Rendah,1_1
228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,Dingin,Sedang,1_1
229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,Dingin,Rendah,1_1
230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,Dingin,Rendah,1_1
231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,Dingin,Rendah,1_1
232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,Dingin,Rendah,1_1
233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,Dingin,Rendah,1_1
234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,Dingin,Rendah,1_1
235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,Dingin,Rendah,1_1
236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,Dingin,Rendah,1_2
237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,Dingin,Rendah,1_2
238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,Dingin,Rendah,1_2
239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,Dingin,Rendah,1_2
240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,Dingin,Rendah,1_2
241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,Dingin,Rendah,1_2
242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,Dingin,Rendah,1_2
243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,Dingin,Rendah,1_2
244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,Dingin,Rendah,1_2
245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,Dingin,Rendah,1_2
246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,Dingin,Rendah,1_2
247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,Dingin,Rendah,1_2
248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,Dingin,Sedang,1_2
